"filename", "language", "PHP", "JSON", "JavaScript", "Markdown", "XML", "YAML", "Shell Script", "Makefile", "PostCSS", "comment", "blank", "total"
"d:\xampp\htdocs\mywebsite\vendor\cloudinary\cloudinary_php\src\Tag\Attribute\SrcSet.php", "PHP", 162, 0, 0, 0, 0, 0, 0, 0, 0, 103, 48, 313
"d:\xampp\htdocs\mywebsite\vendor\cloudinary\cloudinary_php\src\Tag\Attribute\VideoSourceType.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 39, 7, 70
"d:\xampp\htdocs\mywebsite\vendor\cloudinary\cloudinary_php\src\Tag\BaseConfigurableApiTag.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 0, 47, 14, 99
"d:\xampp\htdocs\mywebsite\vendor\cloudinary\cloudinary_php\src\Tag\BaseImageTag.php", "PHP", 127, 0, 0, 0, 0, 0, 0, 0, 0, 122, 50, 299
"d:\xampp\htdocs\mywebsite\vendor\cloudinary\cloudinary_php\src\Tag\BaseTag.php", "PHP", 179, 0, 0, 0, 0, 0, 0, 0, 0, 149, 60, 388
"d:\xampp\htdocs\mywebsite\vendor\cloudinary\cloudinary_php\src\Tag\ClientHintsMetaTag.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 26, 5, 42
"d:\xampp\htdocs\mywebsite\vendor\cloudinary\cloudinary_php\src\Tag\FormInputTag.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 24, 6, 44
"d:\xampp\htdocs\mywebsite\vendor\cloudinary\cloudinary_php\src\Tag\FormTag.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 0, 51, 10, 90
"d:\xampp\htdocs\mywebsite\vendor\cloudinary\cloudinary_php\src\Tag\ImageTag.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 0, 22, 12, 72
"d:\xampp\htdocs\mywebsite\vendor\cloudinary\cloudinary_php\src\Tag\ImageTagDeliveryTypeTrait.php", "PHP", 61, 0, 0, 0, 0, 0, 0, 0, 0, 92, 16, 169
"d:\xampp\htdocs\mywebsite\vendor\cloudinary\cloudinary_php\src\Tag\JsConfigTag.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 27, 9, 62
"d:\xampp\htdocs\mywebsite\vendor\cloudinary\cloudinary_php\src\Tag\PictureSourceTag.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 0, 58, 20, 136
"d:\xampp\htdocs\mywebsite\vendor\cloudinary\cloudinary_php\src\Tag\PictureTag.php", "PHP", 48, 0, 0, 0, 0, 0, 0, 0, 0, 56, 18, 122
"d:\xampp\htdocs\mywebsite\vendor\cloudinary\cloudinary_php\src\Tag\SpriteTag.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 0, 54, 17, 117
"d:\xampp\htdocs\mywebsite\vendor\cloudinary\cloudinary_php\src\Tag\Tag.php", "PHP", 67, 0, 0, 0, 0, 0, 0, 0, 0, 103, 12, 182
"d:\xampp\htdocs\mywebsite\vendor\cloudinary\cloudinary_php\src\Tag\TagBuilder.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 0, 0, 96, 14, 161
"d:\xampp\htdocs\mywebsite\vendor\cloudinary\cloudinary_php\src\Tag\TagUtils.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 0, 13, 8, 50
"d:\xampp\htdocs\mywebsite\vendor\cloudinary\cloudinary_php\src\Tag\UploadTag.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 0, 0, 60, 18, 129
"d:\xampp\htdocs\mywebsite\vendor\cloudinary\cloudinary_php\src\Tag\VideoSourceTag.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 0, 61, 17, 124
"d:\xampp\htdocs\mywebsite\vendor\cloudinary\cloudinary_php\src\Tag\VideoTag.php", "PHP", 211, 0, 0, 0, 0, 0, 0, 0, 0, 176, 64, 451
"d:\xampp\htdocs\mywebsite\vendor\cloudinary\cloudinary_php\src\Tag\VideoTagDeliveryTypeTrait.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 28, 6, 49
"d:\xampp\htdocs\mywebsite\vendor\cloudinary\cloudinary_php\src\Tag\VideoThumbnailTag.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 28, 9, 59
"d:\xampp\htdocs\mywebsite\vendor\cloudinary\cloudinary_php\src\Utils\FileUtils.php", "PHP", 72, 0, 0, 0, 0, 0, 0, 0, 0, 77, 22, 171
